Round,Date,Team 1,Team 2,FT
1,1891,West Bromwich Albion,Blackburn Rovers,02-Feb
1,1891,Wolverhampton Wanderers,Blackburn Rovers,06-Jan
1,1891,Accrington F.C.,Bolton Wanderers,0-3
1,1891,Aston Villa,Bolton Wanderers,01-Feb
1,1891,Blackburn Rovers,Bolton Wanderers,4-0
1,1891,Burnley,Bolton Wanderers,01-Feb
1,1891,Darwen,Bolton Wanderers,01-Feb
1,1891,Derby County,Bolton Wanderers,03-Feb
1,1891,Everton,Bolton Wanderers,02-May
1,1891,Notts County,Bolton Wanderers,2-0
1,1891,Preston North End,Bolton Wanderers,4-0
1,1891,Stoke City,Bolton Wanderers,0-1
1,1891,Sunderland,Bolton Wanderers,04-Jan
1,1891,West Bromwich Albion,Bolton Wanderers,0-2
1,1891,Wolverhampton Wanderers,Bolton Wanderers,01-Feb
1,1891,Accrington F.C.,Burnley,1-0
1,1891,Aston Villa,Burnley,06-Jan
1,1891,Blackburn Rovers,Burnley,03-Mar
1,1891,Bolton Wanderers,Burnley,2-0
1,1891,Darwen,Burnley,02-Jun
1,1891,Derby County,Burnley,0-1
1,1891,Everton,Burnley,01-Jan
1,1891,Notts County,Burnley,05-Jan
1,1891,Preston North End,Burnley,05-Jan
1,1891,Stoke City,Burnley,3-0
1,1891,Sunderland,Burnley,02-Jan
1,1891,West Bromwich Albion,Burnley,1-0
1,1891,Wolverhampton Wanderers,Burnley,0-0
1,1891,Accrington F.C.,Darwen,01-Jan
1,1891,Aston Villa,Darwen,7-0
1,1891,Blackburn Rovers,Darwen,4-0
1,1891,Bolton Wanderers,Darwen,1-0
1,1891,Burnley,Darwen,9-0
1,1891,Derby County,Darwen,7-0
1,1891,Everton,Darwen,05-Mar
1,1891,Notts County,Darwen,5-0
1,1891,Preston North End,Darwen,4-0
1,1891,Stoke City,Darwen,05-Jan
1,1891,Sunderland,Darwen,7-0
1,1891,West Bromwich Albion,Darwen,12-0
1,1891,Wolverhampton Wanderers,Darwen,02-Feb
1,1891,Accrington F.C.,Derby County,01-Jan
1,1891,Aston Villa,Derby County,6-0
1,1891,Blackburn Rovers,Derby County,0-2
1,1891,Bolton Wanderers,Derby County,03-Jan
1,1891,Burnley,Derby County,02-Apr
1,1891,Darwen,Derby County,2-0
1,1891,Everton,Derby County,01-Feb
1,1891,Notts County,Derby County,02-Jan
1,1891,Preston North End,Derby County,3-0
1,1891,Stoke City,Derby County,02-Jan
1,1891,Sunderland,Derby County,07-Jan
1,1891,West Bromwich Albion,Derby County,04-Feb
1,1891,Wolverhampton Wanderers,Derby County,01-Mar
1,1891,Accrington F.C.,Everton,01-Jan
1,1891,Aston Villa,Everton,03-Apr
1,1891,Blackburn Rovers,Everton,02-Feb
1,1891,Bolton Wanderers,Everton,1-0
1,1891,Burnley,Everton,1-0
1,1891,Darwen,Everton,03-Jan
1,1891,Derby County,Everton,0-3
1,1891,Notts County,Everton,01-Mar
1,1891,Preston North End,Everton,4-0
1,1891,Stoke City,Everton,0-1
1,1891,Sunderland,Everton,02-Jan
1,1891,West Bromwich Albion,Everton,4-0
1,1891,Wolverhampton Wanderers,Everton,05-Jan
1,1891,Accrington F.C.,Notts County,2-0
1,1891,Aston Villa,Notts County,05-Jan
1,1891,Blackburn Rovers,Notts County,05-Apr
1,1891,Bolton Wanderers,Notts County,2-0
1,1891,Burnley,Notts County,1-0
1,1891,Darwen,Notts County,02-Mar
1,1891,Derby County,Notts County,3-0
